"collection_date","collection_temp","exp_date","days_in_lab","run","experiment","replicate","species","tube","rank","size","fecundity","dev_eggs","pathogen","lipids","time","ramp_rate","ctmax","warming_tol"
2024-01-24,3,2024-01-26,2,93,1,1,"leptodiaptomus_sicilis",1,6,0.998,NA,"no","no","no",84.2333333333333,0.221503496503496,28.1190476190476,25.1190476190476
2024-01-24,3,2024-01-26,2,93,1,1,"leptodiaptomus_sicilis",2,7,1.014,NA,"no","no","no",80.6,0.235314685314686,27.3072916666667,24.3072916666667
2024-01-24,3,2024-01-26,2,93,1,1,"limnocalanus_macrurus",3,8,1.407,NA,"yes","no","uncertain",60.8166666666667,0.262762237762241,22.3708333333333,19.3708333333333
2024-01-24,3,2024-01-26,2,93,1,1,"leptodiaptomus_sicilis",4,9,0.965,NA,"no","no","no",56.3666666666667,0.266608391608388,21.1541666666667,18.1541666666667
2024-01-24,3,2024-01-26,2,93,1,1,"leptodiaptomus_sicilis",5,2,0.888,6,"no","no","no",93.3833333333333,0.219580419580429,30.2395833333333,27.2395833333333
2024-01-24,3,2024-01-26,2,93,1,1,"leptodiaptomus_sicilis",6,4,0.813,NA,"no","no","no",88.2833333333333,0.226748251748254,29.0791666666667,26.0791666666667
2024-01-24,3,2024-01-26,2,93,1,1,"leptodiaptomus_sicilis",7,1,0.805,7,"no","no","no",97.05,0.251783216783222,31.0625,28.0625
2024-01-24,3,2024-01-26,2,93,1,1,"limnocalanus_macrurus_male",8,10,1.25,NA,"no","no","no",51.0833333333333,0.26381118881118,19.7065972222222,16.7065972222222
2024-01-24,3,2024-01-26,2,93,1,1,"skistodiaptomus_oregonensis",9,3,0.923,NA,"no","no","no",89.1666666666667,0.225174825174831,29.2760416666667,26.2760416666667
2024-01-24,3,2024-01-26,2,93,1,1,"leptodiaptomus_sicilis",10,5,0.79,NA,"no","no","no",85.2166666666667,0.221328671328671,28.3583333333333,25.3583333333333
