"date","hour","mean_temp","point_num","trend_T","trend_se","temp_diff"
2023-01-01,5,6.1,1,6.14634301507799,0.137654780648593,-0.0463430150779862
2023-01-01,6,6.1,2,6.13835432751843,0.128561701423186,-0.0383543275184284
2023-01-01,7,6.1,3,6.13034061879285,0.119754777308166,-0.0303406187928541
2023-01-01,8,6.1,4,6.12227686773532,0.111313630018294,-0.0222768677353198
2023-01-01,9,6.1,5,6.11413805317972,0.103326171294421,-0.0141380531797193
2023-01-01,10,6.1,6,6.10589915396017,0.0958888293433175,-0.00589915396016671
2023-01-01,11,6.1,7,6.09753514891063,0.0891054488620353,0.00246485108937033
2023-01-01,12,6.1,8,6.08902101686506,0.0830838123415497,0.0109789831349438
2023-01-01,13,6.1,9,6.08033173665748,0.0779285438371808,0.0196682633425223
2023-01-01,14,6.1,10,6.07144228712191,0.07372954883992,0.0285577128780856
2023-01-01,15,6.075,11,6.06232764709233,0.0705466349021957,0.012672352907666
2023-01-01,16,6.1,12,6.05296279540273,0.0683935555079605,0.0470372045972676
2023-01-01,17,6.1,13,6.04332271088714,0.0672270794017044,0.0566772891128586
2023-01-01,18,6.1,14,6.03338237237952,0.0669463918031508,0.0666176276204817
2023-01-01,19,6.1,15,6.02311675871389,0.0674041190625077,0.0768832412861142
2023-01-01,20,6.1,16,6.01250084872428,0.0684249726545314,0.0874991512757175
2023-01-01,21,6.05,17,6.00150962124465,0.0698254121834993,0.0484903787553463
2023-01-01,22,6,18,5.99011805510901,0.0714291390887768,0.00988194489099303
2023-01-01,23,6,19,5.97830112915133,0.0730765482906945,0.0216988708486729
2023-01-02,0,5.925,20,5.96603382220567,0.0746289089375938,-0.0410338222056668
2023-01-02,1,5.9,21,5.95329111310595,0.0759691097303662,-0.0532911131059475
2023-01-02,2,5.9,22,5.94004798068625,0.0770007361904549,-0.0400479806862544
2023-01-02,3,5.9,23,5.92627940378054,0.0776467635893903,-0.0262794037805367
2023-01-02,4,5.825,24,5.9119603612228,0.0778486915876949,-0.0869603612227987
2023-01-02,5,5.8,25,5.89706762493286,0.0775682400116929,-0.097067624932861
2023-01-02,6,5.8,26,5.88162035589899,0.0768234208032525,-0.0816203558989876
2023-01-02,7,5.8,27,5.86568075199246,0.0756858938210884,-0.0656807519924607
2023-01-02,8,5.8,28,5.84931293374263,0.0742413455151664,-0.0493129337426277
2023-01-02,9,5.8,29,5.83258102167886,0.0725856214667428,-0.0325810216788573
2023-01-02,10,5.8,30,5.81554913633048,0.0708226178305329,-0.0155491363304776
2023-01-02,11,5.8,31,5.79828139822687,0.0690616280054198,0.00171860177312499
2023-01-02,12,5.8,32,5.78084192789737,0.0674135755874739,0.0191580721026279
